Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
576,479,495,510,1128,1292
577,479,502,528,1129,1300
578,479,497,521,1131,1292
579,479,483,495,1132,1300
580,479,472,469,1134,1292
581,479,457,436,1135,1300
582,479,447,413,1137,1296
583,479,450,416,1138,1292
584,479,459,433,1140,1296
585,479,471,456,1141,1292
586,479,484,485,1143,1296
587,479,520,541,1146,3220
588,479,501,521,1147,1304
589,479,483,494,1149,1292
590,479,469,463,1150,1304
591,479,454,430,1153,1292
592,479,447,414,1154,1304
593,479,452,420,1156,1292
594,479,463,441,1157,1304
595,479,474,465,1159,1292
596,479,487,493,1160,1304
597,479,498,516,1162,1292
598,479,502,527,1163,1304
599,479,493,510,1165,1292
600,479,479,486,1166,1296
601,479,466,458,1168,1292
602,479,453,427,1169,1300
603,479,447,414,1171,1292
604,479,453,420,1172,1300
605,479,464,442,1174,1292
606,479,493,495,1177,3220
607,479,501,520,1179,1304
608,479,501,523,1180,1292
609,479,488,500,1182,1304
610,479,476,477,1183,1292
611,479,463,448,1184,1304
612,479,450,419,1186,1292
613,479,448,415,1187,1304
614,479,455,427,1189,1292
615,479,468,450,1190,1304
616,479,479,476,1192,1292
617,479,491,502,1193,1300
618,479,499,523,1196,1292
619,479,499,521,1197,1304
620,479,486,498,1199,1292
621,479,474,475,1200,1304
622,479,461,445,1202,1292
623,479,450,419,1203,1304
624,479,449,417,1205,1288
625,479,505,488,1218,12848
626,479,471,448,1219,1292
627,479,456,430,1221,1308
628,479,458,433,1222,1300
629,479,469,454,1224,1308
630,479,479,476,1225,1300
631,479,490,500,1227,1308
632,479,499,519,1228,1300
633,479,497,517,1230,1308
634,479,486,497,1231,1300
635,479,475,477,1232,1308
636,479,464,451,1234,1300
637,479,452,423,1235,1308
638,479,451,421,1238,1300
639,479,459,434,1239,1308
640,479,471,457,1241,1300
641,479,481,480,1242,1308
642,479,491,502,1244,1292
643,479,498,519,1245,1308
644,479,462,474,1260,1304
645,479,485,502,1261,1304
646,479,489,503,1263,1292
647,479,482,489,1264,1304
648,479,473,473,1266,1292
649,479,465,452,1267,1300
650,479,453,425,1269,1292
651,479,451,421,1270,1300
652,479,460,436,1272,1292
653,479,472,458,1273,1300
654,479,480,478,1275,1296
655,479,489,498,1276,1292
656,479,496,513,1278,1296
657,479,491,505,1280,1288
658,479,482,489,1282,1296
659,479,473,473,1283,1288
660,479,464,451,1285,1296
661,479,454,428,1286,1288
662,479,455,430,1288,1296
663,478,470,457,1292,1288
664,479,483,484,1293,1288
665,479,493,504,1295,1288
666,479,490,501,1296,1288
667,479,482,487,1298,1296
668,479,473,472,1299,1292
669,478,466,453,1301,1296
670,479,457,432,1302,1292
671,479,456,432,1304,1296
672,479,464,445,1305,1288
673,478,473,462,1307,1296
674,479,479,476,1308,1292
675,479,486,493,1310,1304
676,479,491,503,1311,1292
677,479,487,498,1312,1304
678,479,480,485,1314,1288
679,479,472,471,1315,1304
680,479,466,453,1317,1292
681,478,457,434,1318,1304
682,479,455,435,1321,1308
