ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,E-Max. In-Plane Principal,E-Max. In-Plane Principal (Abs),       S-Mises,S-Max. In-Plane Principal
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            45,             4,  -499.906E-03,       1.22081,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   611.531E-06,   611.531E-06,   19.2464E+03,   17.3314E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            46,             1,  -577.655E-03,       1.82068,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.64168E-03,   1.64168E-03,   49.5570E+03,   48.8144E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            46,             2,  -579.188E-03,       1.70971,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.43848E-03,   1.43848E-03,   43.4673E+03,   42.7133E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            46,             3,  -405.721E-03,       1.81705,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.61681E-03,   1.61681E-03,   48.4655E+03,   48.5630E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            46,             4,  -410.727E-03,       1.69617,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.43025E-03,   1.43025E-03,   42.8661E+03,   42.9703E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            47,             1,  -276.580E-03,   911.577E-03,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   425.840E-06,   425.840E-06,   12.5138E+03,   14.1796E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            47,             2,  -104.949E-03,   906.334E-03,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   424.625E-06,   424.625E-06,   12.4475E+03,   14.0229E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            47,             3,  -275.175E-03,       1.04895,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   497.809E-06,   497.809E-06,   14.5766E+03,   16.3583E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            47,             4,  -107.844E-03,       1.02938,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   505.569E-06,   505.569E-06,   14.7847E+03,   16.4678E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            48,             1,   4.05788E-03,       1.21731,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   698.557E-06,   698.557E-06,   20.4510E+03,   22.1639E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            48,             2,   7.42168E-03,       1.10905,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   664.691E-06,   664.691E-06,   19.4652E+03,   21.0569E+03
