today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=5e-10, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:39:07 2019,7049385,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5554,1234,0,28,28,-0.694318,-0.339977,-9.46188,-0.0574681,0.138349,0.00744957,-15.4969,36.7559,35.0889,-4.19688,14.8573,-4.29794,0.469399,-3.82854,0.271981,1.40759e-12,0.0270256,0.281685,-77.4271,
Thu Sep 26 02:39:07 2019,7059386,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5554,1234,0,28,28,-0.823605,-0.282516,-9.72525,-0.0489543,0.141542,-0.00744957,-15.4969,36.7559,35.0889,-4.84068,15.1428,-4.26606,0.431867,-3.83419,0.273918,1.38384e-12,0.0265697,0.281685,-77.9807,
Thu Sep 26 02:39:07 2019,7069387,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,28,26,-0.80924,-0.268151,-9.72046,-0.0297983,0.133028,-0.0255414,-17.8125,35.5008,33.8789,-4.75897,15.4318,-4.23838,0.399103,-3.83928,0.275829,1.36501e-12,0.0262083,0.281685,-78.5267,
Thu Sep 26 02:39:07 2019,7079388,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5540,1234,0,26,28,-0.732626,-0.354342,-9.6199,-0.0223487,0.124514,-0.0393763,-17.8125,35.5008,33.8789,-4.35509,15.7207,-4.21471,0.367616,-3.8471,0.277706,1.3402e-12,0.0257318,0.281685,-79.0628,
Thu Sep 26 02:39:07 2019,7089389,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5540,1234,0,26,28,-0.828394,-0.277727,-9.663,-0.0202203,0.109615,-0.0468259,-17.8125,35.5008,33.8789,-4.8999,16.0114,-4.19448,0.339167,-3.85531,0.279555,1.32074e-12,0.0253583,0.281685,-79.5911,
Thu Sep 26 02:39:07 2019,7099390,1042.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5540,1234,0,26,28,-0.80924,-0.35913,-9.7875,-0.0159634,0.0957802,-0.0489543,-17.8125,35.5008,33.8789,-4.72653,16.3019,-4.17796,0.311565,-3.86639,0.281342,1.27684e-12,0.0245153,0.281685,-80.1018,
Thu Sep 26 02:39:07 2019,7109391,1042.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5540,1234,0,28,28,-0.612916,-0.311246,-9.7444,-0.00532112,0.0755599,-0.0510828,-17.8125,35.5008,33.8789,-3.59912,16.5941,-4.164,0.286881,-3.87712,0.283065,1.23087e-12,0.0236327,0.281685,-80.5941,
Thu Sep 26 02:39:07 2019,7119392,1042.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5540,1234,0,28,28,-0.675165,-0.464475,-9.68215,-0.00744957,0.0564039,-0.0404405,-17.8125,35.5008,33.8789,-3.98895,16.8861,-4.15054,0.262921,-3.88762,0.284711,1.17565e-12,0.0225725,0.281685,-81.0644,
Thu Sep 26 02:39:07 2019,7129393,1042.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5410,5556,1238,0,28,28,-0.608127,-0.497994,-9.4954,-0.00744957,0.0308625,-0.0276698,-17.8125,35.5008,33.8789,-3.66447,17.1799,-4.13693,0.241755,-3.89518,0.286266,1.11069e-12,0.0213252,0.281685,-81.5087,
Thu Sep 26 02:39:07 2019,7139394,1041.59,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5528,1234,0,28,26,-0.565032,-0.426168,-9.48583,-0.0159634,0.0159634,-0.0138349,-17.8125,35.5008,33.8789,-3.40885,17.4707,-4.12276,0.218557,-3.90421,0.287728,1.04443e-12,0.020053,0.281685,-81.9264,
