today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Sun Feb 18 05:28:22 2018,7651071,751.575,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3978,1196,0,8,30,0.0383072,0.196325,-10.4148,0.0127707,-0.0117065,-0.00851379,-17.8037,42.4922,47.7586,0.055,-0.00851379,
Sun Feb 18 05:28:22 2018,7661072,751.575,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3990,1196,0,8,30,0.0957681,0.129287,-10.4244,0.00851379,-0.00957802,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7671073,751.419,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3990,1196,0,8,30,0.114922,0.0957681,-10.4004,0.00532112,-0.0127707,-0.0042569,-17.8037,42.4922,47.7586,0.055,-0.0042569,
Sun Feb 18 05:28:22 2018,7681074,751.419,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4982,3978,1194,0,8,30,0.0766145,0.134075,-10.3813,0.00744957,-0.0170276,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7691075,751.419,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4982,3978,1194,0,8,30,0.148441,0.0957681,-10.5105,0.00957802,-0.0106422,-0.00851379,-17.8037,42.4922,47.7586,0.055,-0.00851379,
Sun Feb 18 05:28:22 2018,7701076,751.419,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3978,1198,0,32,14,0.0622492,0.100556,-10.4196,0.00851379,-0.0159634,-0.00957802,-17.8037,42.4922,47.7586,0.055,-0.00957802,
Sun Feb 18 05:28:22 2018,7711077,751.462,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3978,1198,0,32,14,0.186748,0.172383,-10.3717,0.00638535,-0.0159634,-0.00744957,-17.8037,42.4922,47.7586,0.055,-0.00744957,
Sun Feb 18 05:28:22 2018,7721078,751.462,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3980,1196,0,30,14,0.11971,0.0622492,-10.3813,0.0106422,-0.0127707,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7731079,751.462,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3980,1196,0,30,14,0.143652,0.0335188,-10.4244,0.0106422,-0.0127707,-0.00532112,-17.8037,42.4922,47.7586,0.055,-0.00532112,
Sun Feb 18 05:28:22 2018,7741080,751.462,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3976,1192,0,30,12,0.11971,0.143652,-10.5105,0.0148991,-0.0180918,-0.00851379,-16.9395,40.9313,48.5906,0.055,-0.00851379,
