today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:35:46 2019,12982480,658.803,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1212,0,6,26,0.201113,0.172383,-9.61511,-0.0244772,-0.0138349,0.052147,-22.6219,28.1496,31.6318,-0.0117378,0.052147,
Wed Oct  2 06:35:46 2019,12992481,658.803,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1212,0,6,26,0.0957681,0.282516,-8.96868,-0.00106422,-0.0117065,0.0468259,-22.6219,28.1496,31.6318,-0.0117378,0.0468259,
Wed Oct  2 06:35:46 2019,13002482,658.803,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5368,5512,1210,0,28,14,0.201113,0.220267,-9.46188,0.0180918,-0.0255414,0.0510828,-22.6219,28.1496,31.6318,-0.0117378,0.0510828,
Wed Oct  2 06:35:46 2019,13012483,658.829,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5368,5512,1210,0,28,14,0.215478,0.21069,-9.76834,0.0223487,-0.0404405,0.0478901,-22.0875,28.6875,33.5332,-0.0117378,0.0478901,
Wed Oct  2 06:35:46 2019,13022484,658.829,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5368,5512,1210,0,28,14,0.258574,0.071826,-9.81623,0.0117065,-0.0308625,0.0500185,-22.0875,28.6875,33.5332,-0.0117378,0.0500185,
Wed Oct  2 06:35:46 2019,13032485,658.829,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5528,1210,0,28,10,0.234632,0.124498,-9.22725,0.00957802,-0.0159634,0.0457616,-22.0875,28.6875,33.5332,-0.0117378,0.0457616,
Wed Oct  2 06:35:46 2019,13042486,658.829,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5528,1210,0,28,10,0.201113,0.263362,-9.56244,0.00957802,-0.0127707,0.0542754,-22.0875,28.6875,33.5332,-0.0117378,0.0542754,
Wed Oct  2 06:35:46 2019,13052487,659.333,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5512,1212,0,26,10,0.244209,0.100556,-10.1658,0.0117065,-0.0383121,0.0532112,-22.0875,28.6875,33.5332,-0.0117378,0.0532112,
Wed Oct  2 06:35:46 2019,13062488,659.333,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5526,1208,0,28,10,0.272939,0.0909797,-10.2951,-0.0042569,-0.0404405,0.0574681,-22.0875,28.6875,33.5332,-0.0117378,0.0574681,
Wed Oct  2 06:35:46 2019,13072489,659.333,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5526,1208,0,28,10,0.220267,0.129287,-9.32302,-0.0170276,-0.0127707,0.0468259,-22.0875,28.6875,33.5332,-0.0117378,0.0468259,
Wed Oct  2 06:35:46 2019,13082490,659.333,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5516,1210,0,28,12,0.129287,0.272939,-8.64307,0.0212845,-0.00957802,0.042569,-22.0875,28.6875,33.5332,-0.0117378,0.042569,
Wed Oct  2 06:35:46 2019,13092491,659.333,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5516,1210,0,28,12,0.244209,0.248997,-9.13627,0.0457616,-0.0244772,0.0489543,-22.0875,28.6875,33.5332,-0.0117378,0.0489543,
Wed Oct  2 06:35:46 2019,13102492,659.333,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1210,0,28,10,0.248997,0.148441,-10.6063,0.0212845,-0.0351194,0.0553397,-22.0875,28.6875,33.5332,-0.0117378,0.0553397,
Wed Oct  2 06:35:46 2019,13112493,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1210,0,28,10,0.311246,-0.023942,-10.6925,-0.0202203,-0.0319267,0.0574681,-22.0875,28.6875,33.5332,-0.0117378,0.0574681,
Wed Oct  2 06:35:46 2019,13122494,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1210,0,28,10,0.220267,0.047884,-9.57681,-0.0234129,-0.0138349,0.0532112,-22.0875,28.6875,33.5332,-0.0117378,0.0532112,
Wed Oct  2 06:35:46 2019,13132495,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5526,1210,0,24,10,0.181959,0.344765,-8.58082,0.00851379,-0.0042569,0.0478901,-20.8406,28.5082,31.9775,-0.0117378,0.0478901,
Wed Oct  2 06:35:46 2019,13142496,658.672,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5516,1212,0,26,28,0.234632,0.172383,-9.16022,0.0361836,-0.0234129,0.0468259,-20.8406,28.5082,31.9775,-0.0117378,0.0468259,
Wed Oct  2 06:35:46 2019,13152497,656.943,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5516,1212,0,26,28,0.124498,0.114922,-9.98382,0.0266056,-0.0404405,0.0532112,-20.8406,28.5082,31.9775,-0.0117378,0.0532112,
Wed Oct  2 06:35:46 2019,13162498,656.943,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1212,0,26,10,0.225055,0.0526724,-10.5058,-0.00638535,-0.0319267,0.0585323,-20.8406,28.5082,31.9775,-0.0117378,0.0585323,
Wed Oct  2 06:35:46 2019,13172499,656.943,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1212,0,26,10,0.258574,-0.0287304,-9.52413,-0.0148991,-0.0159634,0.0564039,-20.8406,28.5082,31.9775,-0.0117378,0.0564039,
Wed Oct  2 06:35:46 2019,13182500,656.943,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1212,0,26,10,0.201113,0.129287,-9.19373,0.00851379,-0.00957802,0.0510828,-20.8406,28.5082,31.9775,-0.0117378,0.0510828,
