Time,Strain
0.85,2.516
0.85,3.239
0.851,3.234
0.851,3.476
0.852,2.851
0.852,3.04
0.853,3.649
0.853,2.657
0.854,2.948
0.854,2.969
0.855,3.271
0.855,2.867
0.856,3.546
0.856,2.824
0.857,3.018
0.857,2.894
0.858,3.606
0.858,3.449
0.859,2.986
0.859,3.271
0.86,3.212
0.86,2.894
0.861,2.128
0.861,3.029
0.862,3.099
0.862,2.295
0.863,3.379
0.863,4.059
0.864,3.147
0.864,2.355
0.865,2.684
0.865,4.204
0.866,3.439
0.866,2.883
0.867,3.25
0.867,3.131
0.868,3.277
0.868,2.543
0.869,3.735
0.869,3.056
0.87,2.964
0.87,2.5
0.871,3.331
0.871,2.392
0.872,2.312
0.872,3.39
