today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:08:47 2018,4855841,760.091,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,60,60,0.0909797,0.172383,-10.2951,0.00212845,-0.0117065,0.00957802,-34.0518,44.2266,44.0977,-0.506251,-0.546036,
Mon Feb  5 12:08:47 2018,4865842,760.091,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1210,0,60,60,0.138864,0.225055,-10.2137,0.00212845,-0.0159634,0.00744957,-34.0518,44.2266,44.0977,-0.778749,-0.553963,
Mon Feb  5 12:08:47 2018,4875843,760.091,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1204,0,60,24,0.0143652,0.229843,-10.3046,0.0042569,-0.0148991,0.00851379,-34.0518,44.2266,44.0977,-0.0798534,-0.562804,
Mon Feb  5 12:08:47 2018,4885844,760.091,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,16,1204,0,60,24,0.153229,0.220267,-10.319,-0.00106422,-0.0138349,0.0106422,-34.0518,44.2266,44.0977,-0.85054,-0.571036,
Mon Feb  5 12:08:47 2018,4895845,760.091,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1210,0,60,60,-0.0574608,0.21069,-10.2041,0.00744957,-0.0148991,0.00851379,-34.0518,44.2266,44.0977,0.32257,-0.579268,
Mon Feb  5 12:08:47 2018,4905846,758.031,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1210,0,60,60,0.0622492,0.220267,-10.2951,0.00532112,-0.00957802,0.00851379,-34.0518,44.2266,44.0977,-0.346356,-0.58628,
Mon Feb  5 12:08:47 2018,4915847,758.031,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,16,60,0.0957681,0.21069,-10.2807,0.00851379,-0.0159634,0.0106422,-34.0518,44.2266,44.0977,-0.533601,-0.593597,
Mon Feb  5 12:08:47 2018,4925848,758.031,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,16,60,0.0814029,0.129287,-10.3142,0.00319267,-0.0127707,0.0042569,-34.0518,44.2266,44.0977,-0.45215,-0.601829,
Mon Feb  5 12:08:47 2018,4935855,758.031,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,14,1202,0,16,60,-0.0430956,0.191536,-10.3238,0.0042569,-0.019156,0.0127707,-34.0518,44.2266,44.0977,0.239133,-0.610975,
Mon Feb  5 12:08:47 2018,4945860,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,12,1214,0,16,58,0.134075,0.21069,-10.3142,0.0042569,-0.0117065,0.00851379,-34.0518,44.2266,44.0977,-0.744595,-0.619817,
Mon Feb  5 12:08:47 2018,4955861,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1206,0,62,24,0.0909797,0.186748,-10.2855,0.00532112,-0.0138349,0.00957802,-34.0518,44.2266,44.0977,-0.506709,-0.627134,
Mon Feb  5 12:08:47 2018,4965864,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1206,0,62,24,0.0670376,0.220267,-10.2424,0.00532112,-0.0127707,0.00638535,-34.0518,44.2266,44.0977,-0.374915,-0.634756,
Mon Feb  5 12:08:47 2018,4975865,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1210,0,16,58,0.0814029,0.167594,-10.3334,0.00319267,-0.0180918,0.00957802,-34.0518,44.2266,44.0977,-0.451288,-0.643597,
