today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 07:02:46 2019,4759245,950.415,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5008,0,22,10,58,66,-0.0383072,0.0670376,-9.61033,0.00212845,-0.0170276,-0.00106422,-23.6414,40.0131,18.2725,-0.228383,15.7612,0.757827,0.3639,1.12173,
Thu Sep 19 07:02:46 2019,4769246,950.415,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,20,8,62,24,0.105345,0.268151,-9.78271,-0.00957802,0.00106422,-0.0372479,-23.6414,40.0131,18.2725,0.616965,16.0425,0.756856,0.324366,1.08122,
Thu Sep 19 07:02:46 2019,4779247,949.294,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,20,8,62,24,0.35913,-0.186748,-9.79707,0.0244772,0.00744957,-0.0127707,-23.6414,40.0131,18.2725,2.09935,16.3272,0.756042,0.290177,1.04622,
Thu Sep 19 07:02:46 2019,4789248,949.294,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,24,8,62,28,0.0335188,-0.0047884,-9.50977,-0.00638535,-0.0106422,0.0266056,-23.6414,40.0131,18.2725,0.201948,16.6188,0.757177,0.264504,1.02168,
Thu Sep 19 07:02:46 2019,4799249,949.294,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,24,8,62,28,-0.047884,0.292093,-9.56723,0.00106422,-0.00106422,0.00106422,-23.6414,40.0131,18.2725,-0.286763,16.9026,0.75745,0.232431,0.989881,
Thu Sep 19 07:02:46 2019,4809250,949.294,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,18,66,0.191536,0.11971,-9.68215,0.0180918,0.00106422,-0.0415047,-23.6414,40.0131,18.2725,1.1333,17.1884,0.755559,0.204251,0.95981,
Thu Sep 19 07:02:46 2019,4819251,950.285,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,18,66,0.248997,-0.0143652,-9.56244,-0.00106422,-0.00744957,0.00638535,-23.6414,40.0131,18.2725,1.49159,17.4774,0.754253,0.180607,0.93486,
Thu Sep 19 07:02:46 2019,4829252,950.285,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,2,24,20,18,66,0.0574608,0.0814029,-9.72525,0.0117065,-0.0042569,0.0170276,-23.6414,40.0131,18.2725,0.338524,17.7629,0.754415,0.155085,0.9095,
Thu Sep 19 07:02:46 2019,4839253,950.285,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,2,24,20,18,66,0.0909797,0.205901,-9.80186,0.00106422,-0.00319267,-0.0266056,-23.6414,40.0131,18.2725,0.531797,18.0491,0.754264,0.131729,0.885993,
Thu Sep 19 07:02:46 2019,4849254,950.285,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,18,16,62,0.205901,0.138864,-9.72525,0.00851379,-0.00212845,-0.00319267,-23.6414,40.0131,18.2725,1.21288,18.3353,0.753746,0.109862,0.863607,
Thu Sep 19 07:02:46 2019,4859255,950.285,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,18,16,62,0.11971,-0.00957681,-9.61033,0.0042569,-0.00106422,0.00106422,-23.6414,40.0131,18.2725,0.713663,18.6215,0.753891,0.0894375,0.843329,
Thu Sep 19 07:02:46 2019,4869256,950.285,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,2,22,8,62,26,0.0814029,0.110133,-9.72046,0.00319267,-0.0042569,-0.0127707,-23.6414,40.0131,18.2725,0.479806,18.9088,0.754123,0.0715787,0.825702,
