today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:31:22 2019,4755118,946.775,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,62,0.0814029,0.0574608,-9.68215,0.00532112,-0.00106422,-0.00532112,-22.7391,34.0383,18.7945,0.481704,15.7567,
Thu Sep 19 06:31:22 2019,4765119,946.775,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,8,18,62,0.153229,0.134075,-9.58638,0.00957802,-0.0042569,-0.00532112,-22.7391,34.0383,18.7945,0.915739,16.0441,
Thu Sep 19 06:31:22 2019,4775120,946.992,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,8,18,62,0.0622492,0.0622492,-9.73004,0.0042569,-0.00532112,-0.00212845,-22.7391,34.0383,18.7945,0.366553,16.3308,
Thu Sep 19 06:31:22 2019,4785121,946.992,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,8,66,28,0.0670376,0.0574608,-9.68694,0.0127707,-0.0042569,-0.0117065,-22.7391,34.0383,18.7945,0.396505,16.617,
Thu Sep 19 06:31:22 2019,4795122,946.992,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,8,66,28,0.0670376,0.0814029,-9.53371,0.00319267,-0.00106422,-0.00212845,-22.7391,34.0383,18.7945,0.402877,16.9026,
Thu Sep 19 06:31:22 2019,4805123,946.992,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,10,66,26,0.0287304,0,-9.4954,0.0042569,-0.00957802,-0.00851379,-22.7391,34.0383,18.7945,0.173361,17.1915,
Thu Sep 19 06:31:22 2019,4815124,945.854,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,10,66,26,0.205901,0.0670376,-9.73961,0.00319267,-0.00106422,-0.00212845,-22.7391,34.0383,18.7945,1.21109,17.4755,
Thu Sep 19 06:31:22 2019,4825125,945.854,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,10,62,26,0.129287,0.138864,-9.68694,0.00744957,-0.00212845,-0.0117065,-22.7391,34.0383,18.7945,0.764654,17.7623,
Thu Sep 19 06:31:22 2019,4835126,945.854,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,20,10,62,26,0.0814029,0.0814029,-9.62948,0.00532112,-0.00532112,-0.00957802,-20.9344,33.3141,17.4023,0.484339,18.0497,
Thu Sep 19 06:31:22 2019,4845127,945.854,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,66,0.21069,0.0430956,-9.71567,0.00638535,-0.00106422,-0.0106422,-20.9344,33.3141,17.4023,1.2423,18.335,
Thu Sep 19 06:31:22 2019,4855128,945.854,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,18,66,0.11971,0.114922,-9.59117,0.00212845,-0.0042569,-0.0106422,-20.9344,33.3141,17.4023,0.715088,18.6224,
Thu Sep 19 06:31:22 2019,4865129,945.854,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,22,8,62,24,0.143652,0.105345,-9.68694,0.00638535,-0.00532112,-0.00851379,-20.9344,33.3141,17.4023,0.849604,18.9091,
Thu Sep 19 06:31:22 2019,4875130,945.054,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,22,8,62,24,0.153229,0.201113,-9.84496,0.00532112,-0.00319267,-0.0127707,-20.9344,33.3141,17.4023,0.891692,19.195,
Thu Sep 19 06:31:22 2019,4885131,945.054,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,22,8,62,64,0.143652,0.0814029,-9.80186,0.0042569,0,-0.00532112,-20.9344,33.3141,17.4023,0.839644,19.4806,
Thu Sep 19 06:31:22 2019,4895132,945.054,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,22,8,62,64,0.0526724,0.0383072,-9.72525,0.00319267,0,-0.00957802,-20.9344,33.3141,17.4023,0.310314,19.7671,
Thu Sep 19 06:31:22 2019,4905133,945.054,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,20,18,64,0.0143652,0.105345,-9.414,0.00212845,-0.00212845,-0.00957802,-20.9344,33.3141,17.4023,0.08743,20.0541,
Thu Sep 19 06:31:22 2019,4915134,947.2,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,20,18,64,0.205901,0.047884,-9.70609,0.00638535,-0.00106422,-0.0138349,-20.9344,33.3141,17.4023,1.21527,20.3403,
Thu Sep 19 06:31:22 2019,4925135,947.2,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,10,18,62,0.153229,0.071826,-9.72046,0.00212845,0.00106422,-0.00532112,-20.9344,33.3141,17.4023,0.903111,20.6262,
Thu Sep 19 06:31:22 2019,4935136,947.2,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,10,18,62,0.114922,0.0957681,-9.6199,0.00319267,-0.00212845,-0.00532112,-20.9344,33.3141,17.4023,0.684437,20.9136,
