time,input,output,voltage
0.528,-0.3,-0.312932080728671,0.150231027482186
0.53,-0.3,-0.312932080728671,0.15602963003822
0.532,-0.3,-0.312932080728671,0.160321429280556
0.534,-0.3,-0.312932080728671,0.163558466203308
0.536,-0.3,-0.3098641191529,0.0126590907137911
0.538,-0.3,-0.3098641191529,0.0558743640546
0.54,-0.3,-0.3098641191529,0.0863026095379214
0.542,-0.3,-0.3098641191529,0.107779935520999
0.544,-0.3,-0.3098641191529,0.122991617853905
0.546,-0.3,-0.3098641191529,0.133817349631689
0.548,-0.3,-0.3098641191529,0.141572916020893
0.55,-0.3,-0.3098641191529,0.147179366638087
0.552,-0.3,-0.3098641191529,0.151281436214874
0.554,-0.3,-0.306796157577128,0.000932360274812888
0.556,-0.3,-0.306796157577128,0.0444776199918854
0.558,-0.3,-0.306796157577128,0.0750816326302221
0.56,-0.3,-0.306796157577128,0.096626772313448
0.562,-0.3,-0.306796157577128,0.111830700928094
0.564,-0.3,-0.306796157577128,0.122595781794735
0.566,-0.3,-0.306796157577128,0.130253669237772
0.568,-0.3,-0.306796157577128,0.135736521284285
0.57,-0.3,-0.306796157577128,0.139696848553232
0.572,-0.3,-0.306796157577128,0.142591408477884
0.574,-0.3,-0.306796157577128,0.14473993126153
0.576,-0.3,-0.306796157577128,0.146366228046468
0.578,-0.3,-0.306796157577128,0.147626966632315
0.58,-0.3,-0.306796157577128,0.148631814478793
0.582,-0.3,-0.303728196001357,-0.00394053998084321
0.584,-0.3,-0.303728196001357,0.037993201464159
0.586,-0.3,-0.303728196001357,0.0674139280036844
0.588,-0.3,-0.303728196001357,0.0880755441093768
0.59,-0.3,-0.303728196001357,0.102605782911385
0.592,-0.3,-0.303728196001357,0.112844057600815
0.594,-0.3,-0.303728196001357,0.12007795741144
0.596,-0.3,-0.303728196001357,0.125208794806904
0.598,-0.3,-0.303728196001357,0.128867488511754
0.6,-0.3,-0.303728196001357,0.131495681633172
0.602,-0.3,-0.303728196001357,0.133402524346188
0.604,-0.3,-0.303728196001357,0.134804421773325
0.606,-0.3,-0.303728196001357,0.135852857500343
0.608,-0.3,-0.303728196001357,0.136653870037284
0.61,-0.3,-0.303728196001357,0.137281686341165
0.612,-0.3,-0.303728196001357,0.137788265281907
0.614,-0.3,-0.303728196001357,0.138209978068451
0.616,-0.3,-0.303728196001357,0.138572284547057
0.618,-0.3,-0.303728196001357,0.1388930066101
0.62,-0.3,-0.303728196001357,0.139184619582258
0.622,-0.3,-0.303728196001357,0.139455856190793
0.624,-0.3,-0.303728196001357,0.13971282934479
0.626,-0.3,-0.300660234425586,-0.0134382607079508
0.628,-0.3,-0.300660234425586,0.0280351425135157
0.63,-0.3,-0.300660234425586,0.0570784089882027
0.632,-0.3,-0.300660234425586,0.0774205797401442
0.634,-0.3,-0.300660234425586,0.0916719834861627
0.636,-0.3,-0.300660234425586,0.101659850328039
0.638,-0.3,-0.300660234425586,0.108663241337012
0.64,-0.3,-0.300660234425586,0.113577499262953
0.642,-0.3,-0.300660234425586,0.117029364030771
0.644,-0.3,-0.300660234425586,0.119457553587906
0.646,-0.3,-0.300660234425586,0.121169170497561
0.648,-0.3,-0.300660234425586,0.122379186553981
0.65,-0.3,-0.300660234425586,0.123238082013134
0.652,-0.3,-0.300660234425586,0.123851193054202
0.654,-0.3,-0.300660234425586,0.124292255002609
0.656,-0.3,-0.300660234425586,0.124612882586155
0.658,-0.3,-0.300660234425586,0.124849206114299
0.66,-0.3,-0.300660234425586,0.125026516803659
0.662,-0.3,-0.300660234425586,0.125162518505873
0.664,-0.3,-0.300660234425586,0.125269603917084
0.666,-0.3,-0.300660234425586,0.125356447924588
0.668,-0.3,-0.300660234425586,0.125429122949504
0.67,-0.3,-0.300660234425586,0.125491879686607
0.672,-0.3,-0.300660234425586,0.125547693622238
0.674,-0.3,-0.300660234425586,0.125598647596842
0.676,-0.3,-0.300660234425586,0.125646199598725
0.678,-0.3,-0.300660234425586,0.125691370219702
0.68,-0.3,-0.300660234425586,0.125734873874048
0.682,-0.3,-0.300660234425586,0.125777210651751
0.684,-0.3,-0.300660234425586,0.125818730615802
0.686,-0.3,-0.300660234425586,0.125859678810298
0.688,-0.3,-0.300660234425586,0.125900226766108
0.69,-0.3,-0.300660234425586,0.125940494554835
0.692,-0.3,-0.300660234425586,0.125980566226604
0.694,-0.3,-0.300660234425586,0.126020500616504
0.696,-0.3,-0.300660234425586,0.126060338909091
0.698,-0.3,-0.300660234425586,0.126100109933565
0.7,-0.3,-0.300660234425586,0.126139833870359
0.702,-0.3,-0.300660234425586,0.126179524845773
0.704,-0.3,-0.300660234425586,0.126219192748221
0.706,-0.3,-0.300660234425586,0.1262588444996
0.708,-0.3,-0.300660234425586,0.126298484945222
0.71,-0.3,-0.300660234425586,0.126338117476822
0.712,-0.3,-0.300660234425586,0.1263777444686
0.714,-0.3,-0.300660234425586,0.126417367582504
0.716,-0.3,-0.300660234425586,0.1264569879819
0.718,-0.3,-0.300660234425586,0.126496606481136
0.72,-0.3,-0.300660234425586,0.126536223650262
0.722,-0.3,-0.300660234425586,0.126575839888313
0.724,-0.3,-0.300660234425586,0.126615455474607
0.726,-0.3,-0.300660234425586,0.126655070604675
0.728,-0.3,-0.300660234425586,0.12669468541538
0.73,-0.3,-0.300660234425586,0.126734300002535
0.732,-0.3,-0.300660234425586,0.126773914433206
0.734,-0.3,-0.300660234425586,0.126813528754336
0.736,-0.3,-0.300660234425586,0.126853142998787
0.738,-0.3,-0.300660234425586,0.126892757189564
0.74,-0.3,-0.300660234425586,0.126932371342767
0.742,-0.3,-0.300660234425586,0.126971985469671
0.744,-0.3,-0.300660234425586,0.127011599578161
0.746,-0.3,-0.300660234425586,0.127051213673767
0.748,-0.3,-0.300660234425586,0.127090827760352
0.75,-0.3,-0.300660234425586,0.127130441840621
0.752,-0.3,-0.300660234425586,0.127170055916471
0.754,-0.3,-0.300660234425586,0.127209669989226
0.756,-0.3,-0.300660234425586,0.127249284059813
0.758,-0.3,-0.300660234425586,0.127288898128887
0.76,-0.3,-0.300660234425586,0.127328512196899
0.762,-0.3,-0.300660234425586,0.127368126264167
0.764,-0.3,-0.300660234425586,0.127407740330915
0.766,-0.3,-0.300660234425586,0.127447354397298
0.768,-0.3,-0.300660234425586,0.127486968463428
0.77,-0.3,-0.300660234425586,0.127526582529379
0.772,-0.3,-0.300660234425586,0.127566196595206
0.774,-0.3,-0.300660234425586,0.127605810660946
0.776,-0.3,-0.300660234425586,0.127645424726626
0.778,-0.3,-0.300660234425586,0.127685038792259
0.78,-0.3,-0.300660234425586,0.127724652857865
0.782,-0.3,-0.300660234425586,0.127764266923451
0.784,-0.3,-0.300660234425586,0.12780388098902
0.786,-0.3,-0.300660234425586,0.127843495054579
0.788,-0.3,-0.300660234425586,0.127883109120131
0.79,-0.3,-0.300660234425586,0.127922723185679
0.792,-0.3,-0.300660234425586,0.127962337251223
0.794,-0.3,-0.300660234425586,0.128001951316764
0.796,-0.3,-0.300660234425586,0.128041565382302
0.798,-0.3,-0.300660234425586,0.128081179447839
0.8,-0.3,-0.300660234425586,0.128120793513378
0.802,-0.3,-0.300660234425586,0.128160407578913
0.804,-0.3,-0.300660234425586,0.128200021644448
0.806,-0.3,-0.300660234425586,0.128239635709984
0.808,-0.3,-0.300660234425586,0.128279249775519
0.81,-0.3,-0.300660234425586,0.128318863841054
0.812,-0.3,-0.300660234425586,0.128358477906589
0.814,-0.3,-0.300660234425586,0.128398091972124
0.816,-0.3,-0.300660234425586,0.128437706037659
0.818,-0.3,-0.300660234425586,0.128477320103194
0.82,-0.3,-0.300660234425586,0.12851693416873
0.822,-0.3,-0.300660234425586,0.128556548234265
0.824,-0.3,-0.300660234425586,0.1285961622998
0.826,-0.3,-0.300660234425586,0.128635776365335
0.828,-0.3,-0.300660234425586,0.12867539043087
0.83,-0.3,-0.300660234425586,0.128715004496405
0.832,-0.3,-0.300660234425586,0.12875461856194
0.834,0.3,-0.300660234425586,3.12879423262748
0.836,0.3,-0.300660234425586,3.16483384669301
0.838,0.3,-0.297592272849814,3.04747538196998
0.84,0.3,-0.294524311274043,2.97135032082532
0.842,0.3,-0.288388388122501,2.77063534008859
0.844,0.3,-0.282252464970958,2.6312642510594
0.846,0.3,-0.269980618667873,2.22792728203164
0.848,0.3,-0.257708772364788,1.93692786784887
0.85,0.3,-0.242368964485931,1.57094577003558
0.852,0.3,-0.227029156607075,1.30086695917782
0.854,0.3,-0.211689348728218,1.09764433264712
0.856,0.3,-0.193281579273591,0.787546839814982
0.858,0.3,-0.174873809818963,0.550972882760373
0.86,0.3,-0.156466040364335,0.36553406089985
0.862,0.3,-0.138058270909708,0.215558493825009
0.864,0.3,-0.116582539879309,-0.0633222135386076
0.866,0.3,-0.098174770424681,-0.130757721435623
0.868,0.3,-0.0797670009700533,-0.199180211594924
0.87,0.3,-0.0613592315154256,-0.268624929188011
0.872,0.3,-0.042951462060798,-0.339116545834929
0.874,0.3,-0.0276116541819415,-0.257274252881149
0.876,0.3,-0.00920388472731385,-0.37113970057599
0.878,0.3,0.00613592315154256,-0.320266545747757
0.88,0.3,0.021475731030399,-0.303019767733919
0.882,0.3,0.0368155389092554,-0.309587570031977
0.884,0.3,0.0521553467881118,-0.33310169509018
0.886,0.3,0.0674951546669682,-0.368754362622304
0.888,0.3,0.0797670009700533,-0.259782047639431
0.89,0.3,0.0920388472731385,-0.198460420168236
0.892,0.3,0.104310693576224,-0.170715167188675
0.894,0.3,0.11965050145508,-0.320092348375274
0.896,0.3,0.128854386182394,-0.138267910404154
0.898,0.3,0.141126232485479,-0.175500651813734
0.9,0.3,0.153398078788564,-0.217627029984537
0.902,0.3,0.162601963515878,-0.110001768333087
0.904,0.3,0.174873809818963,-0.199781389558438
0.906,0.3,0.184077694546277,-0.125899961203719
0.908,0.3,0.193281579273591,-0.0862887501067682
0.91,0.3,0.202485464000905,-0.0708323610153438
0.912,0.3,0.21475731030399,-0.225848096041445
0.914,0.3,0.223961195031304,-0.198349850355981
0.916,0.3,0.233165079758617,-0.191924770136237
0.918,0.3,0.23930100291016,-0.0470184968790277
0.92,0.3,0.248504887637474,-0.107351195939605
0.922,0.3,0.257708772364788,-0.162849563509003
0.924,0.3,0.26384469551633,-0.0617314901710979
0.926,0.3,0.273048580243644,-0.153157715642104
0.928,0.3,0.279184503395187,-0.0774652593771472
0.93,0.3,0.288388388122501,-0.186965533341034
0.932,0.3,0.294524311274043,-0.124201027562912
0.934,0.3,0.300660234425586,-0.0896289046208385
0.936,0.3,0.3098641191529,-0.228299975069293
0.938,0.3,0.316000042304442,-0.186341589988912
0.94,0.3,0.322135965455985,-0.166720314693809
0.942,0.3,0.328271888607527,-0.16284546286512
0.944,0.3,0.33440781175907,-0.170103554079652
0.946,0.3,0.337475773334841,-0.0318670732526031
0.948,0.3,0.343611696486384,-0.0939049761320994
0.95,0.3,0.349747619637926,-0.147578112184178
0.952,0.3,0.352815581213697,-0.0421082792852358
0.954,0.3,0.35895150436524,-0.127358952256221
0.956,0.3,0.362019465941011,-0.0441590651256014
0.958,0.3,0.368155389092554,-0.145164370059507
0.96,0.3,0.371223350668325,-0.0731583952280271
0.962,0.3,0.377359273819868,-0.182165108696421
0.964,0.3,0.380427235395639,-0.115925789764169
0.966,0.3,0.386563158547182,-0.229134832287119
0.968,0.3,0.389631120122953,-0.166002813618147
0.97,0.3,0.392699081698724,-0.128154557461916
0.972,0.3,0.395767043274495,-0.108060158372974
0.974,0.3,0.398835004850267,-0.100448682539492
0.976,0.3,0.401902966426038,-0.101630476293204
0.978,0.3,0.404970928001809,-0.109022782066303
0.98,0.3,0.408038889577581,-0.12081766956135
0.982,0.3,0.411106851153352,-0.135749587570116
0.984,0.3,0.414174812729123,-0.152932650246853
0.986,0.3,0.417242774304894,-0.171746737499532
0.988,0.3,0.420310735880666,-0.191757765263735
0.99,0.3,0.420310735880666,-0.0592637959058044
0.992,0.3,0.423378697456437,-0.122081689389667
0.994,0.3,0.426446659032208,-0.173005828132428
0.996,0.3,0.426446659032208,-0.0622614830762143
0.998,0.3,0.42951462060798,-0.140414560188009
1,0.3,0.432582582183751,-0.202183774087048
1.002,0.3,0.432582582183751,-0.0991414282569603
1.004,0.3,0.432582582183751,-0.0293982726552047
1.006,0.3,0.435650543759522,-0.136362629001848
1.008,0.3,0.435650543759522,-0.0650121061934461
1.01,0.3,0.435650543759522,-0.0175084500152342
1.012,0.3,0.438718505335293,-0.140095679266723
1.014,0.3,0.438718505335293,-0.0797363908000762
1.016,0.3,0.438718505335293,-0.0399818219694543
1.018,0.3,0.438718505335293,-0.0146505568840576
1.02,0.3,0.441786466911065,-0.152813683208881
1.022,0.3,0.441786466911065,-0.103412746001928
1.024,0.3,0.441786466911065,-0.0713842463614639
1.026,0.3,0.441786466911065,-0.0515164530175364
1.028,0.3,0.444854428486836,-0.193559232869744
1.03,0.3,0.444854428486836,-0.146929276440336
1.032,0.3,0.444854428486836,-0.11689568665251
1.034,0.3,0.444854428486836,-0.0984795535137983
1.036,0.3,0.444854428486836,-0.0881956400294578
1.038,0.3,0.444854428486836,-0.0836042803031855
1.04,0.3,0.444854428486836,-0.0829977082075571
1.042,0.3,0.444854428486836,-0.0851804874533841
1.044,0.3,0.444854428486836,-0.0893158126382235
1.046,0.3,0.444854428486836,-0.0948179199803737
1.048,0.3,0.444854428486836,-0.101276774832639
1.05,0.3,0.444854428486836,-0.108405352941989
1.052,0.3,0.444854428486836,-0.1160027373313
1.054,0.3,0.444854428486836,-0.123928286116578
