today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:13:16 2018,11210801,683.219,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5162,9996,48,18,0,1090,0.0766145,0.512359,10.1514,0.0117065,-0.0372479,-0.0042569,19.0055,6.13594,-60.7031,11.2108,-1.90735e-06,16.3302,-13.3325,-0.404992,-3.5205e-06,0.000551305,-4.23852e-07,8.14266e-05,-0.00108562,
Sun Sep 23 20:13:16 2018,11220802,683.219,1518,1515,1524,1514,1088,1514,0.18779,0.0469437,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5150,9996,72,18,0,1090,0.0574608,0.545878,10.2232,0.019156,-0.032991,-0.0042569,19.0055,6.13594,-60.7031,11.2208,-1.90735e-06,16.3528,-13.3509,-0.423138,-5.0905e-06,0.000580557,-4.74757e-07,8.72322e-05,-0.00116463,
Sun Sep 23 20:13:16 2018,11230803,683.219,1518,1515,1524,1514,1088,1514,0.18779,0.0469437,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5150,9996,72,18,0,1090,-0.023942,0.617704,10.2376,0.0159634,-0.0308625,-0.00106422,19.0055,6.13594,-60.7031,11.2308,-1.90735e-06,16.3781,-13.3716,-0.441632,-8.82687e-06,0.000616146,-5.63026e-07,9.33937e-05,-0.00124883,
Sun Sep 23 20:13:16 2018,11240804,682.037,1518,1515,1524,1514,1088,1514,0.18779,0.0469437,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5168,9996,74,18,0,1090,0.0191536,0.435745,10.1754,0.0202203,-0.0372479,-0.00638535,19.0055,6.13594,-60.7031,11.2408,-1.90735e-06,16.4035,-13.3923,-0.46047,-7.60547e-06,0.000638054,-6.39081e-07,9.97742e-05,-0.00133622,
Sun Sep 23 20:13:16 2018,11250805,682.037,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5168,9996,74,18,0,1090,0.0670376,0.440533,10.07,0.0127707,-0.032991,-0.00106422,19.0055,6.13594,-60.7031,11.2508,-1.90735e-06,16.4291,-13.4132,-0.479648,-1.01075e-05,0.000670484,-7.40156e-07,0.000106479,-0.00142824,
Sun Sep 23 20:13:16 2018,11260806,682.037,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,72,8,0,1090,0.0526724,0.440533,10.1514,0.0159634,-0.0383121,0.0042569,19.0055,6.13594,-60.7031,11.2608,-1.90735e-06,16.4545,-13.434,-0.499165,-6.53778e-06,0.000687734,-8.05533e-07,0.000113356,-0.00152284,
Sun Sep 23 20:13:16 2018,11270807,682.037,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,72,8,0,1090,-0.0191536,0.536301,10.0604,0.0170276,-0.0415047,-0.0042569,19.0055,6.13594,-60.7031,11.2708,-1.90735e-06,16.4826,-13.4569,-0.519018,-8.5401e-06,0.00071992,-8.90934e-07,0.000120556,-0.00162232,
Sun Sep 23 20:13:16 2018,11280808,682.958,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,70,46,0,1090,0.0143652,0.488417,10.0652,0.0159634,-0.0393763,-0.00532112,19.0055,6.13594,-60.7031,11.2808,-1.90735e-06,16.5058,-13.4758,-0.539202,-9.47125e-06,0.000749565,-9.85647e-07,0.000128051,-0.00172561,
Sun Sep 23 20:13:16 2018,11290809,682.958,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,70,46,0,1090,0.0287304,0.526724,10.2089,0.0202203,-0.0383121,-0.00106422,19.0055,6.13594,-60.7031,11.2908,-1.90735e-06,16.5298,-13.4955,-0.559716,-9.18978e-06,0.000776907,-1.07754e-06,0.00013582,-0.00183298,
Sun Sep 23 20:13:16 2018,11300810,682.958,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5158,9996,48,8,0,1090,0.0622492,0.383072,10.1275,0.0138349,-0.0383121,-0,19.0055,6.13594,-60.7031,11.3008,-1.90735e-06,16.5566,-13.5174,-0.580557,-1.21479e-05,0.000812092,-1.19902e-06,0.000143941,-0.00194573,
