"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PSUN","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-24",,,"85","64","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-25",,,"88","70","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-26",,,"90","71","73",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-27",,,"83","71","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-28",,,"77","68","69",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-29",,,"70","63","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-06-30",,,"71","62","62",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-01",,,"68","62","67",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-02",,,"77","65","65",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-03",,,"82","65","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-04",,,"87","70","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-05",,,"90","70","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-06",,,"90","70","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-07",,,"89","71","74",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-08",,,"90","70","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-09",,,"91","72","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-10",,,"88","72","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-11",,,"88","63","65",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-12",,,"78","65","65",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-13",,,"78","65","67",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-14",,,"88","67","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-15",,,"92","68","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-16",,,"91","71","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-17",,,"92","72","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-18",,,"94","76","77",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-19",,,"93","75","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-20",,,"83","73","73",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-21",,,"85","68","68",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-22",,,"84","67","69",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-23",,,"86","69","69",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-24",,,"83","66","67",
