today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 11:01:41 2018,72986842,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5502,1076,0,32,14,0.0526724,0.110133,-10.4004,0.00957802,-0.0148991,0.00532112,49.2627,37.6359,-57.0773,2.38419e-07,0.00532112,
Sun Feb 18 11:01:41 2018,72996843,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5512,1080,0,32,32,0.0143652,0.100556,-10.3238,0.0127707,-0.0148991,0.0042569,49.2627,37.6359,-57.0773,2.38419e-07,0.0042569,
Sun Feb 18 11:01:41 2018,73006844,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5512,1080,0,32,32,-0.0957681,0.138864,-10.3382,0.0117065,-0.0127707,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
Sun Feb 18 11:01:41 2018,73016845,607.216,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5512,1080,0,32,32,-0.0143652,0.129287,-10.4196,0.00851379,-0.0170276,0.00851379,49.2627,37.6359,-57.0773,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,73026846,606.373,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5500,1080,0,8,32,0.0335188,0.181959,-10.3142,0.0127707,-0.0148991,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
Sun Feb 18 11:01:41 2018,73036847,606.373,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5500,1080,0,8,32,0.0574608,0.0909797,-10.4196,0.0117065,-0.0180918,0.00851379,49.2627,37.6359,-57.0773,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,73046848,606.373,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5502,1080,0,32,12,0.0335188,0.138864,-10.3956,0.0127707,-0.0127707,0.00744957,49.2627,37.6359,-57.0773,2.38419e-07,0.00744957,
Sun Feb 18 11:01:41 2018,73056849,606.373,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5520,1086,0,8,32,0.0143652,0.105345,-10.3382,0.0117065,-0.0138349,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
Sun Feb 18 11:01:41 2018,73066850,606.373,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5520,1086,0,8,32,0.0287304,0.172383,-10.3525,0.0106422,-0.0159634,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,73076851,606.373,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5526,1086,0,8,32,-0.0191536,0.114922,-10.3477,0.0159634,-0.0127707,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
