microseconds_since_start, kpe(P)=0.0035, kiei(I)=1e-09, kded(D)=0.0006,P_CMD,signal, mad_pitch,,,,,,,,,,,,,,,,,,,,,,,,,,
9265151,0.0103613,3.96E-13,0.00474635,1.51E-02,0.281685,-2.67869,,,,,,,,,,,,,,,,,,,,,,,,,,
9275152,0.0104162,7.84E-14,0.000940704,1.14E-02,0.281685,-2.69437,,,,,,,,,,,,,,,,,,,,,,,,,,
9285153,0.0104227,9.35E-15,0.000112181,1.05E-02,0.281685,-2.69624,,,,,,,,,,,,,,,,,,,,,,,,,,
9295154,0.0104092,-1.94E-14,-0.000232344,1.02E-02,0.281685,-2.69237,,,,,,,,,,,,,,,,,,,,,,,,,,
9305155,0.0104116,3.39E-15,4.07E-05,1.05E-02,0.211266,-2.69305,,,,,,,,,,,,,,,,,,,,,,,,,,
9315156,0.0101539,-3.68E-13,-0.00441731,5.74E-03,0.211266,-2.68984,,,,,,,,,,,,,,,,,,,,,,,,,,
9325157,0.0101198,-4.86E-14,-0.000583506,9.54E-03,0.211266,-2.68012,,,,,,,,,,,,,,,,,,,,,,,,,,
9335158,0.0100399,-1.14E-13,-0.00137029,8.67E-03,0.211266,-2.65728,,,,,,,,,,,,,,,,,,,,,,,,,,
9345159,0.00997127,-9.81E-14,-0.0011767,8.79E-03,0.281685,-2.63767,,,,,,,,,,,,,,,,,,,,,,,,,,
9355160,0.0101434,2.46E-13,0.00295073,1.31E-02,0.281685,-2.61643,,,,,,,,,,,,,,,,,,,,,,,,,,
9365161,0.0100744,-9.86E-14,-0.00118269,8.89E-03,0.211266,-2.59672,,,,,,,,,,,,,,,,,,,,,,,,,,
9375162,0.00975089,-4.62E-13,-0.00554601,4.20E-03,0.211266,-2.5747,,,,,,,,,,,,,,,,,,,,,,,,,,
9385163,0.00968226,-9.80E-14,-0.00117648,8.51E-03,0.211266,-2.55509,,,,,,,,,,,,,,,,,,,,,,,,,,
9395164,0.00958918,-1.33E-13,-0.00159572,7.99E-03,0.211266,-2.5285,,,,,,,,,,,,,,,,,,,,,,,,,,
9405165,0.00952314,-9.43E-14,-0.00113215,8.39E-03,0.211266,-2.50963,,,,,,,,,,,,,,,,,,,,,,,,,,
9415166,0.00943526,-1.26E-13,-0.00150653,7.93E-03,0.281685,-2.48452,,,,,,,,,,,,,,,,,,,,,,,,,,
9425167,0.00960336,2.40E-13,0.00288174,1.25E-02,0.281685,-2.46213,,,,,,,,,,,,,,,,,,,,,,,,,,
9435168,0.0095359,-9.64E-14,-0.00115637,8.38E-03,0.281685,-2.44286,,,,,,,,,,,,,,,,,,,,,,,,,,
