today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchGyr0,pitchAccel,pitchgyro_f,pitchAccel_f,ekp,ekoldp,edp,eip,lamdap,ekr,ekoldr,edr,eir,lamdar,eky,ekoldy,edy,eiy,lamday
Sun Feb 18 10:28:05 2018,18861211,612.699,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5502,1080,0,8,32,-0.0335188,0.258574,-10.3334,0.0127707,-0.0138349,0.00532112,-33.7061,127.823,24.4617,-0.247256,-0.185852,0.0016978,-0.149892,0.238389,0.238389,0.663514,0.00235071,0.00156508,0.533074,0.533074,0.162745,0.0053226,0.00251959,,,,,
Sun Feb 18 10:28:05 2018,18871212,612.699,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5516,1090,0,8,32,-0.0047884,0.158017,-10.319,0.0127707,-0.0148991,0.00744957,-33.7061,127.823,24.4617,-0.247561,-0.0265874,0.00106416,-0.149978,0.24886,0.24886,1.04711,0.00243624,0.00189682,0.540435,0.540435,0.736076,0.00536755,0.00297813,,,,,
Sun Feb 18 10:28:05 2018,18881213,614.054,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5516,1090,0,8,32,0.0191536,0.153229,-10.5824,0.0127707,-0.0138349,0.00744957,-33.7061,127.823,24.4617,-0.248171,0.103703,0.000188697,-0.149618,0.253814,0.253814,0.495422,0.00251337,0.00150977,0.539424,0.539424,-0.101143,0.00539929,0.00235236,,,,,
Sun Feb 18 10:28:05 2018,18891214,614.054,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5510,1088,0,8,30,0.0861913,0.263362,-10.3477,0.0127707,-0.0138349,0.00744957,-33.7061,127.823,24.4617,-0.248476,0.477233,-0.00032143,-0.148103,0.255808,0.255808,0.199398,0.00254811,0.00129909,0.544641,0.544641,0.521719,0.00542032,0.002838,,,,,
Sun Feb 18 10:28:05 2018,18901215,614.054,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5336,5510,1088,0,8,30,-0.0047884,0.129287,-10.41,0.0127707,-0.0127707,0.0117065,-33.7061,127.823,24.4617,-0.248781,-0.026355,-0.000786991,-0.145184,0.256598,0.256598,0.0789672,0.00256203,0.00121328,0.549221,0.549221,0.458038,0.00546931,0.00281136,,,,,
Sun Feb 18 10:28:05 2018,18911216,614.054,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5344,5490,1080,0,8,30,-0.0143652,0.114922,-10.2807,0.0127707,-0.0148991,0.00957802,-33.7061,127.823,24.4617,-0.248781,-0.0800593,-0.000918386,-0.14164,0.25794,0.25794,0.134239,0.00257269,0.00126033,0.546259,0.546259,-0.296223,0.0054774,0.00223837,,,,,
Sun Feb 18 10:28:05 2018,18921217,614.054,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5344,5490,1080,0,8,30,-0.0430956,0.11971,-10.4531,0.019156,-0.0159634,0.00744957,-33.7061,127.823,24.4617,-0.247561,-0.236216,0.00013139,-0.138261,0.259793,0.259793,0.18535,0.00258867,0.0013066,0.54708,0.54708,0.0820756,0.00546669,0.00252276,,,,,
Sun Feb 18 10:28:05 2018,18931218,614.054,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5528,1090,0,8,30,-0.0526724,0.129287,-10.2951,0.0117065,-0.0138349,0.0117065,-33.7061,127.823,24.4617,-0.248781,-0.293139,-0.00124162,-0.135446,0.265577,0.265577,0.578317,0.00262685,0.00162421,0.546253,0.546253,-0.082624,0.00546667,0.00239683,,,,,
Sun Feb 18 10:28:05 2018,18941219,612.62,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5340,5528,1090,0,8,30,-0.0670376,0.186748,-10.2903,0.0117065,-0.0148991,0.00744957,-33.7061,127.823,24.4617,-0.24939,-0.373257,-0.00191,-0.133487,0.272451,0.272451,0.687468,0.00269014,0.00173613,0.542942,0.542942,-0.331116,0.00544598,0.00219755,,,,,
Sun Feb 18 10:28:05 2018,18951220,612.62,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5528,1092,0,8,30,0.0143652,0.172383,-10.4196,0.0180918,-0.0117065,0.00744957,-33.7061,127.823,24.4617,-0.248476,0.0789924,-0.00105618,-0.132097,0.280302,0.280302,0.785062,0.00276377,0.00184387,0.544643,0.544643,0.170028,0.00543792,0.00257705,,,,,
