today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=5e-08, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:47:28 2018,9809257,921.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4138,1212,0,30,12,-0.469264,-0.0957681,-10.4339,0.0138349,-0.0776884,0.00212845,27.6562,32.6063,46.9266,-2.57513,13.7733,-2.62733,0.673737,-1.95359,0.0636307,-8.95424e-11,-0.0214902,0.0704193,-25.3818,0,
Sun Feb 11 14:47:28 2018,9819258,921.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4138,1212,0,30,12,-0.129287,-0.148441,-10.2759,0.0138349,-0.0851379,-0.00212845,27.6562,32.6063,46.9266,-0.720832,14.0619,-2.60164,0.626745,-1.9749,0.0627704,-8.60286e-11,-0.0206469,0.0704193,-25.0377,0,
Sun Feb 11 14:47:28 2018,9829259,921.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4942,4124,1214,0,32,32,-0.272939,-0.0526724,-10.2711,0.00319267,-0.10323,0.00106422,27.6562,32.6063,46.9266,-1.52219,14.3535,-2.57354,0.584296,-1.98924,0.061898,-8.72369e-11,-0.0209369,0.0704193,-24.6888,0,
Sun Feb 11 14:47:28 2018,9839260,920.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4942,4124,1214,0,32,32,-0.387861,-0.0526724,-10.1754,0.0117065,-0.112808,-0,27.6562,32.6063,46.9266,-2.18293,14.6428,-2.54372,0.540916,-2.00281,0.0610653,-8.32658e-11,-0.0199838,0.0704193,-24.3557,0,
Sun Feb 11 14:47:28 2018,9849261,920.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5028,4134,1216,0,30,14,-0.292093,-0.167594,-10.1706,0.0255414,-0.12345,0.00106422,27.6562,32.6063,46.9266,-1.64505,14.9323,-2.51395,0.499472,-2.01448,0.0602821,-7.83286e-11,-0.0187989,0.0704193,-24.0424,0,
Sun Feb 11 14:47:28 2018,9859262,920.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5028,4134,1216,0,30,14,-0.306458,-0.220267,-10.3525,0.0297983,-0.131964,0.00744957,27.6562,32.6063,46.9266,-1.69559,15.2212,-2.48398,0.459083,-2.0249,0.0595123,-7.69758e-11,-0.0184742,0.0704193,-23.7345,0,
Sun Feb 11 14:47:28 2018,9869263,920.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4134,1214,0,8,32,-0.574608,-0.124498,-10.1945,0.0287341,-0.146863,0.00744957,27.6562,32.6063,46.9266,-3.22604,15.5119,-2.45498,0.422142,-2.03284,0.0587593,-7.52997e-11,-0.0180719,0.0704193,-23.4333,0,
Sun Feb 11 14:47:28 2018,9879264,920.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4134,1214,0,8,32,-0.426168,-0.201113,-10.4531,0.0255414,-0.156441,0.0127707,27.6562,32.6063,46.9266,-2.33463,15.8012,-2.42907,0.385289,-2.04378,0.0580573,-7.01962e-11,-0.0168471,0.0704193,-23.1525,0,
Sun Feb 11 14:47:28 2018,9889265,920.264,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4138,1216,0,8,32,-0.445322,-0.248997,-10.2472,0.0202203,-0.159634,0.0159634,27.6562,32.6063,46.9266,-2.48839,16.0886,-2.40599,0.348362,-2.05763,0.0573675,-6.89879e-11,-0.0165571,0.0704193,-22.8766,0,
Sun Feb 11 14:47:28 2018,9899266,920.595,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4138,1216,0,8,32,-0.507571,-0.272939,-10.3477,0.0138349,-0.177725,0.0106422,27.6562,32.6063,46.9266,-2.80819,16.3802,-2.38534,0.317343,-2.068,0.0567003,-6.67124e-11,-0.016011,0.0704193,-22.6097,0,
Sun Feb 11 14:47:28 2018,9909267,920.595,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5026,4138,1212,0,8,30,-0.584185,-0.215478,-10.2951,0.0042569,-0.186239,0.0106422,27.6562,32.6063,46.9266,-3.24772,16.6691,-2.36815,0.285136,-2.08302,0.0560771,-6.2325e-11,-0.014958,0.0704193,-22.3604,0,
Sun Feb 11 14:47:28 2018,9919268,920.595,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5026,4138,1212,0,8,30,-0.517148,-0.153229,-10.319,0.0042569,-0.190496,0.0042569,27.6562,32.6063,46.9266,-2.86904,16.9568,-2.35498,0.253424,-2.10155,0.0554816,-5.95479e-11,-0.0142915,0.0704193,-22.1222,0,
Sun Feb 11 14:47:28 2018,9929269,920.595,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4950,4130,1218,0,8,30,-0.656011,-0.172383,-10.3621,-0.00319267,-0.197946,-0.00212845,27.6562,32.6063,46.9266,-3.62249,17.2455,-2.34593,0.224323,-2.12161,0.0548998,-5.81851e-11,-0.0139644,0.0704193,-21.8895,0,
Sun Feb 11 14:47:28 2018,9939270,921.029,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4950,4130,1218,0,8,30,-0.612916,-0.191536,-10.3094,-0.00638535,-0.204331,-0.00106422,27.6562,32.6063,46.9266,-3.40234,17.5338,-2.34155,0.196561,-2.14499,0.0543468,-5.52959e-11,-0.013271,0.0704193,-21.6683,0,
