today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:28:12 2018,9170885,921.09,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1212,0,32,14,0.220267,-0.181959,-10.386,0.00638535,-0.0478901,0.00957802,26.1006,34.8609,47.4258,1.21494,12.9053,1.14902,0.797498,1.94652,0.0465895,-0,-0.0242039,50.3838,-23.2947,50.3838,
Sun Feb 11 14:28:12 2018,9180886,921.09,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,8,30,0.177171,-0.263362,-10.3813,0.00212845,-0.0446974,0.00851379,26.1006,34.8609,47.4258,0.97774,13.1908,1.15558,0.745378,1.90095,0.045785,-0,-0.0241357,50.3838,-22.8925,50.3838,
Sun Feb 11 14:28:12 2018,9190887,921.298,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,8,30,0.143652,-0.253785,-10.3765,0.0042569,-0.042569,0.0138349,26.1006,34.8609,47.4258,0.793154,13.4767,1.16095,0.695167,1.85612,0.0449865,-0,-0.023954,50.3838,-22.4932,50.3838,
Sun Feb 11 14:28:12 2018,9200888,921.298,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1212,0,20,30,0.181959,-0.220267,-10.2232,0.00532112,-0.0415047,0.00957802,26.1006,34.8609,47.4258,1.01968,13.7629,1.16487,0.64689,1.81176,0.0441905,-0,-0.0238787,50.3838,-22.0953,50.3838,
Sun Feb 11 14:28:12 2018,9210889,921.298,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1212,0,20,30,0.229843,-0.220267,-10.3094,0.00851379,-0.0446974,0.00744957,26.1006,34.8609,47.4258,1.27717,14.0503,1.16793,0.601439,1.76937,0.0433979,-0,-0.0237775,50.3838,-21.699,50.3838,
Sun Feb 11 14:28:12 2018,9220890,921.298,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1214,0,32,14,0.244209,-0.277727,-10.3717,0.0138349,-0.0446974,0.00319267,26.1006,34.8609,47.4258,1.34882,14.3368,1.17098,0.556706,1.72768,0.0426101,-0,-0.0236354,50.3838,-21.305,50.3838,
Sun Feb 11 14:28:12 2018,9230891,920.673,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4128,1214,0,32,14,0.316035,-0.253785,-10.3334,0.00957802,-0.0351194,0.00744957,26.1006,34.8609,47.4258,1.75178,14.6205,1.17475,0.511049,1.6858,0.0418208,-0,-0.0236793,50.3838,-20.9104,50.3838,
Sun Feb 11 14:28:12 2018,9240892,920.673,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5008,4138,1216,0,20,30,0.244209,-0.201113,-10.2615,0.0170276,-0.0415047,0.00532112,26.1006,34.8609,47.4258,1.36329,14.9088,1.17963,0.471717,1.65134,0.041032,-0,-0.0236635,50.3838,-20.516,50.3838,
Sun Feb 11 14:28:12 2018,9250893,920.673,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5008,4138,1216,0,20,30,0.258574,-0.268151,-10.2328,0.0180918,-0.0393763,0.00744957,26.1006,34.8609,47.4258,1.4475,15.1947,1.18523,0.431614,1.61684,0.0402515,-0,-0.0234151,50.3838,-20.1257,50.3838,
Sun Feb 11 14:28:12 2018,9260894,920.673,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1216,0,8,32,0.21069,-0.320823,-10.1514,0.0159634,-0.0361836,0.00319267,26.1006,34.8609,47.4258,1.18899,15.4802,1.19102,0.392998,1.58402,0.0394786,-0,-0.0231876,50.3838,-19.7393,50.3838,
Sun Feb 11 14:28:12 2018,9270895,920.673,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1216,0,8,32,0.138864,-0.335188,-10.2711,0.00957802,-0.032991,0.0106422,26.1006,34.8609,47.4258,0.774582,15.7658,1.19617,0.356179,1.55235,0.0387129,-0,-0.0229692,50.3838,-19.3565,50.3838,
Sun Feb 11 14:28:12 2018,9280896,920.673,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1214,0,20,30,0.181959,-0.258574,-10.3286,0.00638535,-0.0340552,0.0148991,26.1006,34.8609,47.4258,1.00928,16.0526,1.1999,0.322311,1.52222,0.0379477,-0,-0.0229577,50.3838,-18.9738,50.3838,
Sun Feb 11 14:28:12 2018,9290897,921.637,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1214,0,20,30,0.263362,-0.191536,-10.319,0.00957802,-0.0340552,0.0117065,26.1006,34.8609,47.4258,1.46199,16.3391,1.2028,0.289814,1.49262,0.0371932,-0,-0.0226361,50.3838,-18.5966,50.3838,
Sun Feb 11 14:28:12 2018,9300898,921.637,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,16,0.143652,-0.234632,-10.2615,0.00957802,-0.0372479,0.0127707,26.1006,34.8609,47.4258,0.802036,16.6265,1.20539,0.25986,1.46525,0.0364449,-0,-0.0224474,50.3838,-18.2225,50.3838,
Sun Feb 11 14:28:12 2018,9310899,921.637,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,16,0.177171,-0.205901,-10.4483,0.00957802,-0.0340552,0.00957802,26.1006,34.8609,47.4258,0.971468,16.912,1.20701,0.229719,1.43673,0.0357127,-0,-0.0219666,50.3838,-17.8563,50.3838,
Sun Feb 11 14:28:12 2018,9320900,921.637,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,32,32,0.158017,-0.205901,-10.3669,0.00638535,-0.0372479,0.0127707,26.1006,34.8609,47.4258,0.873264,17.1994,1.20735,0.203024,1.41038,0.034986,-0,-0.0218013,50.3838,-17.493,50.3838,
Sun Feb 11 14:28:12 2018,9330901,920.647,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,32,32,0.191536,-0.21069,-10.501,0.0106422,-0.0404405,0.00744957,26.1006,34.8609,47.4258,1.04495,17.4868,1.20666,0.17783,1.38449,0.034269,-0,-0.0215092,50.3838,-17.1345,50.3838,
Sun Feb 11 14:28:12 2018,9340902,920.647,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5012,4138,1214,0,30,14,0.167594,-0.244209,-10.2951,0.0042569,-0.0340552,0.0042569,26.1006,34.8609,47.4258,0.93264,17.7715,1.20515,0.151482,1.35663,0.0335579,-0,-0.0213344,50.3838,-16.7789,50.3838,
Sun Feb 11 14:28:12 2018,9350903,920.647,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5012,4138,1214,0,30,14,0.0622492,-0.196325,-10.5058,0.00319267,-0.0351194,-0,26.1006,34.8609,47.4258,0.339488,18.0582,1.20228,0.128841,1.33112,0.0328527,-0,-0.0211559,50.3838,-16.4263,50.3838,
