today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0001, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 13:33:01 2018,10376655,943.455,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5000,4142,1216,0,32,32,0.196325,-0.0574608,-10.2089,0.00638535,-0.0127707,0.00212845,24.8906,32.2594,46.9266,1.10171,15.76,0.759492,0.362616,1.12211,0.114778,-0,-0,50.3838,-22.7807,
Sun Feb 11 13:33:01 2018,10386660,943.455,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1212,0,32,14,0.158017,-0.0526724,-10.2903,0.00106422,-0.0117065,0.0042569,24.8906,32.2594,46.9266,0.879764,16.0462,0.766219,0.327906,1.09413,0.112604,-0,-0,50.3838,-22.3493,
Sun Feb 11 13:33:01 2018,10396661,944.559,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1212,0,32,14,0.143652,-0.172383,-10.2951,0.00106422,-0.0106422,0.00212845,24.8906,32.2594,46.9266,0.799425,16.3324,0.772937,0.294907,1.06784,0.110446,-0,-0,50.3838,-21.921,
Sun Feb 11 13:33:01 2018,10406662,944.559,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5014,4138,1216,0,30,12,0.220267,-0.0861913,-10.3238,0.00319267,-0.00638535,0.0042569,24.8906,32.2594,46.9266,1.22227,16.6176,0.779659,0.262723,1.04238,0.108308,-0,-0,50.3838,-21.4965,
Sun Feb 11 13:33:01 2018,10416663,944.559,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,5014,4138,1216,0,30,12,0.186748,-0.172383,-10.3813,0.00532112,-0.0159634,0.0042569,24.8906,32.2594,46.9266,1.03058,16.9068,0.7869,0.236074,1.02297,0.10618,-0,-0,50.3838,-21.0743,
Sun Feb 11 13:33:01 2018,10426664,944.559,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4984,4130,1216,0,32,12,0.162806,-0.134075,-10.2615,0.0042569,-0.00957802,0.00638535,24.8906,32.2594,46.9266,0.908957,17.1915,0.794512,0.206426,1.00094,0.104066,-0,-0,50.3838,-20.6547,
Sun Feb 11 13:33:01 2018,10436665,943.447,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4984,4130,1216,0,32,12,0.172383,-0.047884,-10.2711,0.00744957,-0.00851379,0.00744957,24.8906,32.2594,46.9266,0.961518,17.4777,0.802074,0.179976,0.98205,0.101984,-0,-0,50.3838,-20.2414,
Sun Feb 11 13:33:01 2018,10446666,943.447,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,8,32,0.225055,-0.0622492,-10.3286,0.00744957,-0.0117065,0.0117065,24.8906,32.2594,46.9266,1.24825,17.7651,0.809815,0.156259,0.966075,0.0999077,-0,-0,50.3838,-19.8293,
Sun Feb 11 13:33:01 2018,10456667,943.447,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,8,32,0.148441,-0.124498,-10.2951,0.0117065,-0.00851379,0.0117065,24.8906,32.2594,46.9266,0.826069,18.0506,0.817885,0.132219,0.950105,0.0978484,-0,-0,50.3838,-19.4206,
Sun Feb 11 13:33:01 2018,10466668,943.447,1514,1513,1088,1514,1940,1514,-7.62939e-06,50.3838,0.9,0,0.5,-1.19209e-07,4990,4128,1216,0,32,32,0.105345,-0.124498,-10.2089,0.0127707,-0.0148991,0.0159634,24.8906,32.2594,46.9266,0.591212,18.3389,0.825477,0.11235,0.937827,0.095822,-0,-0,50.3838,-19.0184,
