today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=6e-05,signal, mad_pitch, multiplier
Sun Feb 11 14:26:36 2018,8305715,921.029,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,14,0.814029,-0.11971,-10.2568,-0.0244772,-0.214973,-0.0148991,22.9893,31.0453,50.0883,4.53778,13.5261,4.95327,0.711331,5.6646,0.047106,-0,-0.0973301,50.3838,-23.553,50.3838,
Sun Feb 11 14:26:36 2018,8315716,921.029,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4984,4130,1216,0,30,32,0.723049,-0.0861913,-10.343,-0.0159634,-0.205395,-0.00638535,22.9893,31.0453,50.0883,3.9989,13.8098,5.03361,0.657776,5.69139,0.0464655,-0,-0.0968048,50.3838,-23.2328,50.3838,
Sun Feb 11 14:26:36 2018,8325717,921.029,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4984,4130,1216,0,30,32,0.603339,-0.177171,-10.41,-0.0148991,-0.204331,-0.00744957,22.9893,31.0453,50.0883,3.31702,14.096,5.10309,0.608621,5.71171,0.045828,-0,-0.0963568,50.3838,-22.914,50.3838,
Sun Feb 11 14:26:36 2018,8335718,921.029,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5038,4138,1218,0,8,32,0.641646,-0.138864,-10.2663,-0.0138349,-0.192625,-0.00851379,22.9893,31.0453,50.0883,3.57634,14.3791,5.16081,0.558431,5.71924,0.0451876,-0,-0.096802,50.3838,-22.5938,50.3838,
Sun Feb 11 14:26:36 2018,8345719,922.515,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5038,4138,1218,0,8,32,0.617704,-0.00957681,-10.343,-0.0159634,-0.180918,-0.00744957,22.9893,31.0453,50.0883,3.41777,14.6623,5.20725,0.510398,5.71765,0.0445365,-0,-0.0984147,50.3838,-22.2682,50.3838,
Sun Feb 11 14:26:36 2018,8355720,922.515,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1214,0,32,12,0.440533,-0.0814029,-10.386,-0.00212845,-0.163891,-0.0042569,22.9893,31.0453,50.0883,2.4288,14.9439,5.2422,0.463062,5.70526,0.0438808,-0,-0.0991095,50.3838,-21.9404,50.3838,
Sun Feb 11 14:26:36 2018,8365721,922.515,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1214,0,32,12,0.59855,-0.100556,-10.3334,0.00532112,-0.152184,-0.00532112,22.9893,31.0453,50.0883,3.3151,15.227,5.26533,0.419458,5.68479,0.0432171,-0,-0.100325,50.3838,-21.6085,50.3838,
Sun Feb 11 14:26:36 2018,8375722,922.515,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1212,0,32,14,0.387861,-0.191536,-10.3621,0.00851379,-0.134092,-0.00106422,23.335,30.6984,49.0898,2.14362,15.5083,5.2772,0.376226,5.65342,0.0425424,-0,-0.101977,50.3838,-21.2712,50.3838,
Sun Feb 11 14:26:36 2018,8385723,922.515,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1212,0,32,14,0.440533,-0.158017,-10.2232,0.00106422,-0.117065,0.00106422,23.335,30.6984,49.0898,2.46743,15.7899,5.27763,0.33554,5.61317,0.041851,-0,-0.104511,50.3838,-20.9255,50.3838,
Sun Feb 11 14:26:36 2018,8395724,922.515,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5008,4142,1218,0,30,14,0.440533,-0.181959,-10.2185,0.00638535,-0.0915233,-0.00212845,23.335,30.6984,49.0898,2.46858,16.0691,5.26712,0.294712,5.56183,0.0411446,-0,-0.106772,50.3838,-20.5723,50.3838,
