Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
10.75,-9.733359,0.4981641,-8.78583
10.761,-10.13572,0.3257227,-8.360389
10.77,-10.17404,0.1916016,-7.629495
10.781,-10.03992,0.01916016,-7.386677
10.792,-9.599238,-0.05748047,-6.412151
10.8,-9.311836,-0.03832031,-5.986135
10.812,-8.986114,-0.2299219,-5.316344
10.82,-8.794512,-0.2107617,-4.829736
10.83,-8.698711,0,-4.282151
10.841,-8.909473,-0.05748047,-3.489867
10.85,-8.966953,0.2107617,-3.003658
10.86,-9.158555,0.01916016,-2.517162
10.871,-9.637559,-0.09580079,-2.274283
10.88,-9.81,-0.1341211,-1.72627
10.89,-9.982442,-0.01916016,-1.178514
10.902,-10.13572,0.1149609,-0.7529641
10.912,-10.17404,0.249082,0.4047593
10.92,-9.924961,0.2107617,0.6478263
10.93,-9.580078,0.2299219,1.378419
10.941,-9.369317,0.4406836,2.414726
10.952,-9.139395,0.4215235,2.657514
10.96,-9.120234,0.5173243,2.656958
10.97,-8.909473,0.4790039,3.266159
10.981,-8.775352,0.364043,3.387556
10.99,-9.062755,0.3257227,4.423725
11.001,-9.311836,0.1724414,4.849999
11.01,-9.580078,-0.07664063,5.093624
11.02,-9.848321,-0.2874024,5.336345
11.031,-10.0974,-0.4598438,5.395745
11.05,-9.77168,-0.1149609,5.881975
11.062,-9.465117,0.05748047,6.063319
11.071,-9.445957,0.1341211,6.367005
11.082,-9.369317,0.1724414,6.243464
11.091,-9.350157,0.2874024,5.876021
11.101,-9.484278,0.4406836,5.75248
11.111,-9.330997,0.3448828,5.629563
11.12,-9.330997,0.728086,5.446123
11.132,-9.330997,0.613125,5.14039
11.14,-9.369317,0.7664063,4.956779
11.152,-9.388477,0.613125,4.10295
11.161,-9.292676,0.2874024,3.492777
11.172,-9.101074,-0.07664063,2.150822
11.18,-9.196876,-0.09580079,1.967526
11.191,-9.311836,0.1341211,1.052401
11.2,-9.580078,0.03832031,-0.838212
11.21,-9.924961,0.1149609,-2.430014
11.221,-10.02076,0.4215235,-4.893802
11.23,-10.07824,0.4215235,-7.229447
11.24,-10.0016,0.6897656,-10.24202
11.253,-9.656719,0.613125,-14.88235
11.26,-9.656719,0.6322852,-16.59595
11.272,-9.235196,0.5364844,-21.71835
11.28,-9.005274,0.4215235,-24.34065
11.29,-8.966953,0.3448828,-27.51174
11.303,-9.158555,0.1532813,-31.84145
11.312,-9.369317,0,-34.46371
11.32,-9.560919,-0.1149609,-36.53722
11.33,-9.905801,-0.249082,-39.28157
11.341,-10.02076,-0.1724414,-41.53823
11.36,-9.924961,-0.2107617,-45.13706
11.37,-9.81,-0.1916016,-46.05326
11.381,-9.369317,-0.2299219,-47.76267
11.39,-9.216036,-0.01916016,-48.374
